"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Building Condition Complaint","Building Services","9##","GOYEAU","WARD 3","Phone","FEB 02, 2024 02:30:46 PM"
"Building Condition Complaint","Building Services","16##","PILLETTE","WARD 5","Phone","FEB 15, 2024 02:05:46 PM"
"Building Condition Complaint","Building Services","11##","FAIRVIEW","WARD 6","E-Mail","MAR 14, 2024 11:59:57 AM"
"Building Condition Complaint","Building Services","88##","RIVERSIDE","WARD 6","Phone","MAR 14, 2024 12:06:07 PM"
"Building Condition Complaint","Building Services","2##","WATSON","WARD 6","Phone","MAR 14, 2024 12:40:16 PM"
"Building Condition Complaint","Building Services","32##","CONSERVATION","WARD 9","Phone","FEB 02, 2024 09:33:12 AM"
"Building Condition Complaint","Building Services","20##","BUCKINGHAM","WARD 8","Phone","JAN 26, 2024 08:11:47 AM"
"Building Condition Complaint","Building Services","5##","HALL","WARD 4","Phone","JAN 10, 2024 12:36:16 PM"
"Building Condition Complaint","Building Services","23##","LILLIAN","WARD 4","Phone","JAN 17, 2024 03:37:44 PM"
"Building Condition Complaint","Building Services","31##","ACADEMY","WARD 1","Phone","JAN 26, 2024 03:20:58 PM"
"Building Condition Complaint","Building Services","8##","BRUCE","WARD 3","Phone","JAN 29, 2024 01:36:49 PM"
"Building Condition Complaint","Building Services","5##","CAMPBELL","WARD 2","Phone","JAN 30, 2024 08:26:27 AM"
"Building Condition Complaint","Building Services","10##","DROUILLARD","WARD 5","E-Mail","JAN 02, 2024 03:47:12 PM"
"Building Condition Complaint","Building Services","12##","DROUILLARD","WARD 5","Phone","JAN 05, 2024 11:09:22 AM"
"Building Condition Complaint","Building Services","8##","ST LUKE","WARD 5","Phone","JAN 15, 2024 01:14:48 PM"
"Building Condition Complaint","Building Services","8##","ST LUKE","WARD 5","Phone","JAN 16, 2024 03:06:35 PM"
"Building Condition Complaint","Building Services","16##","MOY","WARD 4","Phone","JAN 17, 2024 09:12:50 AM"
"Building Condition Complaint","Building Services","9##","LILLIAN","WARD 4","Phone","JAN 17, 2024 10:21:21 AM"
"Building Condition Complaint","Building Services","6##","BRANT","WARD 4","Phone","JAN 19, 2024 01:43:22 PM"
"Building Condition Complaint","Building Services","13##","ASSUMPTION","WARD 4","Phone","JAN 22, 2024 12:41:51 PM"
"Building Condition Complaint","Building Services","87##","RIVERSIDE","WARD 6","Phone","JAN 22, 2024 02:08:28 PM"
"Building Condition Complaint","Building Services","7##","ELLIOTT","WARD 4","Phone","FEB 22, 2024 03:42:57 PM"
"Building Condition Complaint","Building Services","13##","LANGLOIS","WARD 4","Phone","FEB 22, 2024 09:48:02 AM"
"Building Condition Complaint","Building Services","7##","TUSCARORA","WARD 4","Phone","FEB 23, 2024 02:16:41 PM"
"Building Condition Complaint","Building Services","3##","OUELLETTE","WARD 3","Phone","JAN 18, 2024 08:26:01 AM"
"Building Condition Complaint","Building Services","16##","GOYEAU","WARD 3","Phone","JAN 18, 2024 01:48:24 PM"
"Building Condition Complaint","Building Services","64##","WYANDOTTE","WARD 6","Phone","JAN 31, 2024 10:06:46 AM"
"Building Condition Complaint","Building Services","8##","DOUGALL","WARD 3","Phone","FEB 21, 2024 03:32:42 PM"
"Building Condition Complaint","Building Services","13##","LANGLOIS","WARD 4","Phone","FEB 23, 2024 12:09:59 PM"
"Building Condition Complaint","Building Services","0##","TUSCARORA","WARD 3","Phone","FEB 20, 2024 11:40:31 AM"
"Building Condition Complaint","Building Services","5##","CHATHAM","WARD 3","Phone","FEB 21, 2024 09:20:14 AM"
"Building Condition Complaint","Building Services","9##","HOMEDALE","WARD 6","Phone","JAN 05, 2024 03:31:21 PM"
"Building Condition Complaint","Building Services","3##","PARTINGTON","WARD 2","Phone","JAN 26, 2024 02:20:08 PM"
"Building Condition Complaint","Building Services","14##","ROXBOROUGH","WARD 10","E-Mail","FEB 09, 2024 08:09:07 AM"
"Building Condition Complaint","Building Services","16##","HICKORY","WARD 5","Phone","JAN 18, 2024 01:30:19 PM"
"Building Condition Complaint","Building Services","8##","VICTORIA","WARD 3","Phone","FEB 23, 2024 02:32:50 PM"
"Building Condition Complaint","Building Services","7##","PICHE","WARD 2","Phone","JAN 18, 2024 10:47:04 AM"
"Building Condition Complaint","Building Services","3##","LAPORTE","WARD 6","Phone","FEB 07, 2024 12:32:09 PM"
"Building Condition Complaint","Building Services","6##","WYANDOTTE","WARD 3","Phone","FEB 20, 2024 03:31:17 PM"
"Building Condition Complaint","Building Services","8##","PELISSIER","WARD 3","Phone","MAR 04, 2024 11:23:07 AM"
"Building Condition Complaint","Building Services","16##","HICKORY","WARD 5","Phone","JAN 15, 2024 09:06:58 AM"
"Building Condition Complaint","Building Services","7##","TECUMSEH","WARD 4","Phone","JAN 19, 2024 01:35:18 PM"
"Building Condition Complaint","Building Services","43##","PIONEER","WARD 1","Citizen Mobile Apps","JAN 08, 2024 04:34:11 PM"
"Building Condition Complaint","Building Services","90##","CONWAY","WARD 6","Phone","JAN 05, 2024 03:27:18 PM"
"Building Condition Complaint","Building Services","33##","SANDWICH","WARD 2","Phone","FEB 08, 2024 02:12:04 PM"
"Building Condition Complaint","Building Services","9##","BRUCE","WARD 3","Phone","FEB 26, 2024 10:34:18 AM"
"Building Condition Complaint","Building Services","14##","RIVERSIDE","WARD 2","Phone","JAN 02, 2024 01:20:02 PM"
"Building Condition Complaint","Building Services","11##","AIRE","WARD 6","Phone","JAN 04, 2024 01:49:38 PM"
"Building Condition Complaint","Building Services","12##","WYANDOTTE","WARD 4","Phone","JAN 18, 2024 09:22:24 AM"
"Building Condition Complaint","Building Services","12##","ELSMERE","WARD 4","Phone","JAN 17, 2024 12:16:13 PM"
"Building Condition Complaint","Building Services","6##","AYLMER","WARD 4","Phone","FEB 22, 2024 11:35:15 AM"
"Building Condition Complaint","Building Services","64##","WYANDOTTE","WARD 6","Phone","FEB 22, 2024 02:13:11 PM"
"Building Condition Complaint","Building Services","2##","PILLETTE","WARD 6","Phone","FEB 22, 2024 02:21:18 PM"
"Building Condition Complaint","Building Services","2##","TUSCARORA","WARD 3","Phone","JAN 29, 2024 02:37:30 PM"
"Building Condition Complaint","Building Services","25##","JOS ST LOUIS","WARD 8","Phone","FEB 21, 2024 08:35:45 AM"
"Building Condition Complaint","Building Services","7##","ELLIOTT","WARD 4","Phone","FEB 22, 2024 09:50:03 AM"
"Building Condition Complaint","Building Services","24##","MCDOUGALL","WARD 10","Phone","JAN 17, 2024 10:01:13 AM"
"Building Condition Complaint","Building Services","12##","DROUILLARD","WARD 5","Phone","JAN 17, 2024 11:56:04 AM"
"Building Condition Complaint","Building Services","24##","MCDOUGALL","WARD 10","Phone","JAN 17, 2024 02:29:14 PM"
"Building Condition Complaint","Building Services","8##","BRUCE","WARD 3","Phone","FEB 13, 2024 12:51:46 PM"
"Building Condition Complaint","Building Services","12##","OTTAWA","WARD 4","Phone","JAN 17, 2024 09:35:03 AM"
"Building Condition Complaint","Building Services","4##","MCEWAN","WARD 2","Citizen Mobile Apps","JAN 06, 2024 04:44:53 PM"
"Building Condition Complaint","Building Services","12##","OTTAWA","WARD 4","Phone","MAR 07, 2024 01:57:52 PM"
"Building Condition Complaint","Building Services","12##","MARENTETTE","WARD 4","Phone","MAR 08, 2024 09:46:42 AM"
"Building Condition Complaint","Building Services","10##","HICKORY","WARD 5","Web Intake","MAR 07, 2024 11:32:47 AM"
"Building Condition Complaint","Building Services","11##","DOUGALL","WARD 3","Citizen Mobile Apps","JAN 12, 2024 12:03:57 PM"
"Building Condition Complaint","Building Services","10##","GLADSTONE","WARD 4","Phone","JAN 24, 2024 11:17:29 AM"
"Building Condition Complaint","Building Services","2##","GILES","WARD 3","Phone","JAN 25, 2024 12:51:51 PM"
"Building Condition Complaint","Building Services","64##","WYANDOTTE","WARD 6","Phone","FEB 02, 2024 10:15:52 AM"
"Building Condition Complaint","Building Services","7##","TUSCARORA","WARD 4","Phone","FEB 26, 2024 08:14:39 AM"
"Building Condition Complaint","Building Services","12##","CRAWFORD","WARD 3","Phone","MAR 01, 2024 02:51:40 PM"
"Building Condition Complaint","Building Services","15##","AUBIN","WARD 5","Phone","MAR 07, 2024 11:50:24 AM"
"Building Condition Complaint","Building Services","2##","TUSCARORA","WARD 3","Phone","MAR 11, 2024 02:12:40 PM"
"Building Condition Complaint","Building Services","11##","JANETTE","WARD 3","Web Intake","MAR 15, 2024 07:36:47 PM"
"Building Condition Complaint","Building Services","13##","UNIVERSITY","WARD 2","Phone","JAN 02, 2024 09:16:08 AM"
"Building Condition Complaint","Building Services","4##","GLENGARRY","WARD 3","Phone","JAN 02, 2024 03:14:54 PM"
"Building Condition Complaint","Building Services","3##","MCKAY","WARD 2","Citizen Mobile Apps","FEB 09, 2024 02:51:57 PM"
"Building Condition Complaint","Building Services","3##","CURRY","WARD 2","Citizen Mobile Apps","FEB 09, 2024 02:56:01 PM"
"Building Condition Complaint","Building Services","26##","WHELPTON","WARD 5","Citizen Mobile Apps","JAN 17, 2024 06:39:06 PM"
"Building Condition Complaint","Building Services","18##","MELDRUM","WARD 5","Phone","JAN 26, 2024 12:04:30 PM"
"Building Condition Complaint","Building Services","8##","ST PAUL","WARD 6","Phone","JAN 15, 2024 09:19:03 AM"
"Building Condition Complaint","Building Services","2##","DROUILLARD","WARD 5","Web Intake","JAN 22, 2024 04:19:55 PM"
"Building Condition Complaint","Building Services","5##","MORAND","WARD 9","Phone","JAN 26, 2024 01:05:14 PM"
"Building Condition Complaint","Building Services","3##","CAMPBELL","WARD 2","Phone","MAR 07, 2024 01:37:38 PM"
"Building Condition Complaint","Building Services","7##","OUELLETTE","WARD 3","Citizen Mobile Apps","MAR 14, 2024 12:46:17 PM"
"Building Condition Complaint","Building Services","0##","TECUMSEH","WARD 3","Phone","FEB 08, 2024 11:40:18 AM"
"Building Condition Complaint","Building Services","26##","ALEXIS","WARD 5","Phone","MAR 14, 2024 02:25:03 PM"
"Building Condition Complaint","Building Services","15##","BUCKINGHAM","WARD 8","E-Mail","FEB 08, 2024 11:44:16 AM"
"Building Condition Complaint","Building Services","16##","RIVERSIDE","WARD 4","Web Intake","JAN 14, 2024 05:02:28 PM"
"Building Condition Complaint","Building Services","9##","PARENT","WARD 4","Citizen Mobile Apps","JAN 07, 2024 08:17:24 PM"
"Building Condition Complaint","Building Services","4##","BRUCE","WARD 3","Web Intake","JAN 17, 2024 11:42:18 AM"
"Building Condition Complaint","Building Services","11##","WYANDOTTE","WARD 4","Phone","JAN 22, 2024 10:28:54 AM"
"Building Condition Complaint","Building Services","35##","PETER","WARD 2","Phone","JAN 29, 2024 01:52:58 PM"
"Building Condition Complaint","Building Services","13##","PIERRE","WARD 4","Phone","JAN 29, 2024 02:13:12 PM"
"Building Condition Complaint","Building Services","11##","RIVERSIDE","WARD 4","Phone","FEB 13, 2024 09:03:01 AM"
"Building Condition Complaint","Building Services","27##","RANDOLPH","WARD 10","Phone","FEB 13, 2024 01:52:29 PM"
"Building Condition Complaint","Building Services","18##","DAYTONA","WARD 10","Phone","JAN 03, 2024 10:47:47 AM"
"Building Condition Complaint","Building Services","83##","WYANDOTTE","WARD 6","Phone","JAN 02, 2024 10:38:49 AM"
"Building Condition Complaint","Building Services","22##","FRASER","WARD 4","Phone","FEB 20, 2024 09:45:10 AM"
"Building Condition Complaint","Building Services","6##","OAK","WARD 3","Phone","FEB 20, 2024 12:37:11 PM"
"Building Condition Complaint","Building Services","9##","PELISSIER","WARD 3","Phone","FEB 22, 2024 11:59:33 AM"
"Building Condition Complaint","Building Services","5##","MCKAY","WARD 2","Phone","FEB 20, 2024 01:31:50 PM"
"Building Condition Complaint","Building Services","13##","ASSUMPTION","WARD 4","Phone","JAN 11, 2024 09:31:48 AM"
"Building Condition Complaint","Building Services","33##","SOUILLIERE","WARD 7","Phone","JAN 26, 2024 11:38:15 AM"
"Building Condition Complaint","Building Services","9##","ELLROSE","WARD 5","Phone","FEB 01, 2024 11:55:39 AM"
"Building Condition Complaint","Building Services","26##","LAUZON","WARD 8","E-Mail","FEB 01, 2024 12:30:02 PM"
"Building Condition Complaint","Building Services","38##","WYANDOTTE","WARD 5","Phone","FEB 02, 2024 09:29:11 AM"
"Building Condition Complaint","Building Services","1##","RANDOLPH","WARD 2","Phone","JAN 03, 2024 03:39:59 PM"
"Building Condition Complaint","Building Services","26##","WESTMINSTER","WARD 8","Phone","FEB 16, 2024 12:34:07 PM"
"Building Condition Complaint","Building Services","15##","GEORGE","WARD 5","Phone","JAN 15, 2024 01:49:02 PM"
"Building Condition Complaint","Building Services","8##","ASSUMPTION","WARD 4","Phone","FEB 23, 2024 11:32:41 AM"
"Building Condition Complaint","Building Services","26##","LAUZON","WARD 8","Phone","FEB 26, 2024 12:25:38 PM"
"Building Condition Complaint","Building Services","15##","RIVERSIDE","WARD 4","Phone","JAN 29, 2024 09:42:06 AM"
"Building Condition Complaint","Building Services","26##","MEADOWBROOK","WARD 8","Phone","JAN 10, 2024 10:17:15 AM"
"Building Condition Complaint","Building Services","23##","ALEXIS","WARD 5","Phone","JAN 25, 2024 10:48:21 AM"
"Building Condition Complaint","Building Services","24##","MCDOUGALL","WARD 3","Citizen Mobile Apps","FEB 20, 2024 12:06:52 PM"
"Building Condition Complaint","Building Services","0##","TUSCARORA","WARD 3","Phone","FEB 20, 2024 01:44:02 PM"
"Building Condition Complaint","Building Services","24##","RIVARD","WARD 8","E-Mail","MAR 04, 2024 01:57:06 PM"
"Building Condition Complaint","Building Services","8##","MARION","WARD 4","Phone","JAN 29, 2024 11:41:28 AM"
"Building Condition Complaint","Building Services","3##","LOUIS","WARD 4","Citizen Mobile Apps","JAN 29, 2024 02:39:33 PM"
"Building Condition Complaint","Building Services","5##","RANDOLPH","WARD 2","Phone","JAN 02, 2024 03:57:13 PM"
"Building Condition Complaint","Building Services","35##","RANKIN","WARD 1","Phone","JAN 15, 2024 08:46:48 AM"
"Building Condition Complaint","Building Services","87##","RIVERSIDE","WARD 6","Phone","JAN 23, 2024 08:53:28 AM"
"Building Condition Complaint","Building Services","9##","MAISONVILLE","WARD 5","Citizen Mobile Apps","JAN 25, 2024 02:14:49 PM"
"Building Condition Complaint","Building Services","3##","CAMPBELL","WARD 2","Phone","JAN 02, 2024 12:15:43 PM"
"Building Condition Complaint","Building Services","5##","MARENTETTE","WARD 4","Phone","JAN 02, 2024 01:36:06 PM"
"Building Condition Complaint","Building Services","3##","ELM","WARD 3","Phone","JAN 02, 2024 11:43:16 AM"
"Building Condition Complaint","Building Services","3##","CAMPBELL","WARD 2","Phone","JAN 02, 2024 11:47:18 AM"
"Building Condition Complaint","Building Services","10##","DROUILLARD","WARD 5","E-Mail","JAN 02, 2024 03:49:08 PM"
"Building Condition Complaint","Building Services","10##","DROUILLARD","WARD 5","Phone","JAN 02, 2024 03:55:13 PM"
"Building Condition Complaint","Building Services","15##","GEORGE","WARD 5","Phone","JAN 03, 2024 03:44:04 PM"
"Building Condition Complaint","Building Services","4##","DEVONSHIRE","WARD 4","Phone","FEB 20, 2024 09:16:51 AM"
"Building Condition Complaint","Building Services","8##","OUELLETTE","WARD 3","Phone","JAN 22, 2024 10:28:57 AM"
"Building Condition Complaint","Building Services","10##","BRUCE","WARD 3","Phone","JAN 22, 2024 02:12:30 PM"
"Building Condition Complaint","Building Services","21##","WYANDOTTE","WARD 2","Phone","JAN 22, 2024 02:14:34 PM"
"Building Condition Complaint","Building Services","7##","ROSEDALE","WARD 2","Citizen Mobile Apps","JAN 08, 2024 10:41:35 AM"
"Building Condition Complaint","Building Services","2##","WATSON","WARD 6","Phone","JAN 24, 2024 08:57:50 AM"
"Building Condition Complaint","Building Services","22##","FRASER","WARD 4","Phone","FEB 27, 2024 12:47:46 PM"
"Building Condition Complaint","Building Services","29##","MEADOWBROOK","WARD 8","E-Mail","JAN 03, 2024 11:52:15 AM"
"Building Condition Complaint","Building Services","13##","BLUE HERON","WARD 7","E-Mail","JAN 29, 2024 11:21:12 AM"
"Building Condition Complaint","Building Services","26##","HOWARD","WARD 10","Phone","JAN 31, 2024 09:56:37 AM"
"Building Condition Complaint","Building Services","15##","DUFFERIN","WARD 3","Phone","JAN 08, 2024 12:36:22 PM"
"Building Condition Complaint","Building Services","9##","MCKAY","WARD 2","Phone","JAN 16, 2024 02:22:14 PM"
"Building Condition Complaint","Building Services","5##","WYANDOTTE","WARD 3","Phone","JAN 18, 2024 11:21:24 AM"
"Building Condition Complaint","Building Services","5##","WYANDOTTE","WARD 3","Phone","JAN 19, 2024 03:28:06 PM"
"Building Condition Complaint","Building Services","3##","JOSEPHINE","WARD 2","Phone","JAN 31, 2024 10:33:05 AM"
"Building Condition Complaint","Building Services","9##","MAISONVILLE","WARD 5","Phone","MAR 13, 2024 11:50:54 AM"
"Building Condition Complaint","Building Services","21##","WYANDOTTE","WARD 2","E-Mail","FEB 06, 2024 01:29:30 PM"
"Building Condition Complaint","Building Services","2##","EUGENIE","WARD 10","Phone","MAR 04, 2024 02:39:37 PM"
"Building Condition Complaint","Building Services","9##","ASKIN","WARD 2","Phone","JAN 17, 2024 02:41:18 PM"
"Building Condition Complaint","Building Services","7##","WINDSOR","WARD 3","Phone","JAN 23, 2024 02:55:47 PM"
"Building Condition Complaint","Building Services","15##","HICKORY","WARD 5","Phone","JAN 22, 2024 01:46:20 PM"
"Building Condition Complaint","Building Services","24##","MCDOUGALL","WARD 10","Citizen Mobile Apps","JAN 16, 2024 07:42:39 PM"
"Building Condition Complaint","Building Services","10##","ELM","WARD 3","Phone","JAN 31, 2024 03:14:36 PM"
"Building Condition Complaint","Building Services","32##","LINWOOD","WARD 2","Phone","MAR 05, 2024 10:50:14 AM"
"Building Condition Complaint","Building Services","10##","ELM","WARD 3","Phone","JAN 31, 2024 03:42:51 PM"
"Building Condition Complaint","Building Services","14##","CATARAQUI","WARD 4","Phone","MAR 13, 2024 11:40:48 AM"
"Building Condition Complaint","Building Services","9##","PIERRE","WARD 4","Citizen Mobile Apps","JAN 07, 2024 08:13:25 PM"
"Building Condition Complaint","Building Services","2##","WATSON","WARD 6","Phone","JAN 15, 2024 01:12:46 PM"
"Building Condition Complaint","Building Services","6##","OAK","WARD 3","Phone","JAN 15, 2024 01:39:03 PM"
"Building Condition Complaint","Building Services","15##","VIRTUE","WARD 6","Phone","JAN 16, 2024 09:52:15 AM"
"Building Condition Complaint","Building Services","6##","OAK","WARD 3","Citizen Mobile Apps","MAR 13, 2024 06:25:55 PM"
"Building Condition Complaint","Building Services","3##","LOUIS","WARD 4","Phone","MAR 13, 2024 08:21:17 AM"
"Building Condition Complaint","Building Services","8##","CATARAQUI","WARD 4","Phone","MAR 13, 2024 11:00:30 AM"
"Building Condition Complaint","Building Services","2##","TUSCARORA","WARD 3","Phone","FEB 09, 2024 12:05:58 PM"
"Building Condition Complaint","Building Services","2##","ERIE","WARD 3","Phone","FEB 09, 2024 09:48:18 AM"
"Building Condition Complaint","Building Services","3##","CAMERON","WARD 2","Citizen Mobile Apps","FEB 09, 2024 02:58:02 PM"
"Building Condition Complaint","Building Services","3##","BRUCE","WARD 3","Phone","JAN 26, 2024 11:48:18 AM"
"Building Condition Complaint","Building Services","16##","BETTS","WARD 10","Phone","JAN 03, 2024 01:17:02 PM"
"Building Condition Complaint","Building Services","87##","RIVERSIDE","WARD 6","Phone","FEB 21, 2024 01:11:02 PM"
"Building Condition Complaint","Building Services","8##","MARENTETTE","WARD 4","Phone","JAN 18, 2024 01:08:07 PM"
"Building Condition Complaint","Building Services","54##","EMPRESS","WARD 8","Phone","FEB 02, 2024 09:45:25 AM"
"Building Condition Complaint","Building Services","18##","ALEXIS","WARD 5","Phone","FEB 07, 2024 03:48:30 PM"
"Building Condition Complaint","Building Services","15##","CAMPBELL","WARD 10","Citizen Mobile Apps","FEB 11, 2024 09:04:40 AM"
"Building Condition Complaint","Building Services","10##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 12, 2024 09:15:33 AM"
"Building Condition Complaint","Building Services","9##","WINDERMERE","WARD 4","Phone","FEB 12, 2024 08:57:21 AM"
"Building Condition Complaint","Building Services","11##","HOWARD","WARD 3","Phone","JAN 10, 2024 12:06:02 PM"
"Building Condition Complaint","Building Services","19##","BERNARD","WARD 5","Phone","JAN 25, 2024 09:59:46 AM"
"Building Condition Complaint","Building Services","8##","BRANT","WARD 4","Phone","FEB 02, 2024 11:56:56 AM"
"Building Condition Complaint","Building Services","13##","OUELLETTE","WARD 3","Phone","FEB 06, 2024 03:43:00 PM"
"Building Condition Complaint","Building Services","5##","MARENTETTE","WARD 4","Citizen Mobile Apps","MAR 06, 2024 03:08:52 PM"
"Building Condition Complaint","Building Services","33##","MILLEN","WARD 2","Phone","JAN 22, 2024 11:51:31 AM"
"Building Condition Complaint","Building Services","30##","FOREST GLADE","WARD 7","Phone","JAN 24, 2024 09:48:28 AM"
"Building Condition Complaint","Building Services","5##","MCEWAN","WARD 2","Citizen Mobile Apps","JAN 18, 2024 10:39:03 AM"
"Building Condition Complaint","Building Services","5##","MARENTETTE","WARD 4","Citizen Mobile Apps","MAR 06, 2024 01:09:25 PM"
"Building Condition Complaint","Building Services","16##","RIVERSIDE","WARD 4","Phone","JAN 25, 2024 11:02:32 AM"
"Building Condition Complaint","Building Services","31##","HOWARD","WARD 9","Phone","MAR 01, 2024 12:31:57 PM"
"Building Condition Complaint","Building Services","27##","TECUMSEH","WARD 5","Phone","FEB 15, 2024 03:46:59 PM"
"Building Condition Complaint","Building Services","87##","RIVERSIDE","WARD 6","Phone","FEB 16, 2024 02:55:48 PM"
"Building Condition Complaint","Building Services","12##","GLADSTONE","WARD 4","Phone","JAN 16, 2024 09:28:00 AM"
"Building Condition Complaint","Building Services","0##","ELLIS","WARD 3","Phone","JAN 11, 2024 09:23:46 AM"
"Building Condition Complaint","Building Services","8##","SHEPHERD","WARD 4","Phone","JAN 16, 2024 02:52:28 PM"
"Building Condition Complaint","Building Services","19##","COLLEGE","WARD 2","Phone","JAN 04, 2024 03:40:29 PM"
"Building Condition Complaint","Building Services","46##","TECUMSEH","WARD 5","Phone","FEB 01, 2024 11:53:36 AM"
"Building Condition Complaint","Building Services","31##","RUSSELL","WARD 2","Phone","FEB 05, 2024 09:17:10 AM"
"Building Condition Complaint","Building Services","2##","WATSON","WARD 6","Phone","FEB 21, 2024 11:19:36 AM"
