"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Dead Animal Removal","Environmental Services","32##","CURRY","WARD 1","Phone","FEB 07, 2024 12:13:57 PM"
"Dead Animal Removal","Environmental Services"," ","COLLEGE AVE & BRIDGE AVE","WARD 2","Phone","JAN 08, 2024 02:57:28 PM"
"Dead Animal Removal","Environmental Services","23##","MERCER","WARD 3","Phone","JAN 09, 2024 09:39:38 AM"
"Dead Animal Removal","Environmental Services"," ","SIXTH CONCESSION RD & PROVINCIAL RD","WARD 9","E-Mail","MAR 11, 2024 04:01:53 PM"
"Dead Animal Removal","Environmental Services","27##","JEFFERSON","WARD 8","Citizen Mobile Apps","MAR 11, 2024 05:04:39 PM"
"Dead Animal Removal","Environmental Services","50##","RHODES","WARD 9","Citizen Mobile Apps","MAR 11, 2024 05:10:44 PM"
"Dead Animal Removal","Environmental Services","16##","ALBERT","WARD 5","Phone","JAN 02, 2024 11:31:12 AM"
"Dead Animal Removal","Environmental Services","25##","WINDERMERE","WARD 4","Phone","JAN 03, 2024 10:55:52 AM"
"Dead Animal Removal","Environmental Services"," ","BRUCE AVE & GILES BLVD W","WARD 3","E-Mail","JAN 03, 2024 11:40:15 AM"
"Dead Animal Removal","Environmental Services","10##","BRUCE","WARD 3","Phone","JAN 03, 2024 12:08:26 PM"
"Dead Animal Removal","Environmental Services","10##","BRUCE","WARD 3","Citizen Mobile Apps","JAN 04, 2024 11:02:22 AM"
"Dead Animal Removal","Environmental Services","12##","HALL","WARD 4","Phone","JAN 04, 2024 12:04:53 PM"
"Dead Animal Removal","Environmental Services","10##","BRUCE","WARD 3","Phone","JAN 03, 2024 12:32:34 PM"
"Dead Animal Removal","Environmental Services","10##","BRUCE","WARD 3","Citizen Mobile Apps","JAN 03, 2024 04:04:13 PM"
"Dead Animal Removal","Environmental Services","11##","CLOVER","WARD 7","Phone","MAR 04, 2024 03:46:17 PM"
"Dead Animal Removal","Environmental Services","7##","FELIX","WARD 2","Phone","MAR 05, 2024 08:30:33 AM"
"Dead Animal Removal","Environmental Services","11##","KAMLOOPS","WARD 9","Phone","MAR 05, 2024 10:27:58 AM"
"Dead Animal Removal","Environmental Services","7##","FELIX","WARD 2","Phone","MAR 05, 2024 09:35:20 AM"
"Dead Animal Removal","Environmental Services","7##","FELIX","WARD 2","Phone","MAR 05, 2024 09:41:32 AM"
"Dead Animal Removal","Environmental Services","11##","KAMLOOPS","WARD 9","Phone","MAR 05, 2024 10:30:03 AM"
"Dead Animal Removal","Environmental Services","11##","KAMLOOPS","WARD 9","Phone","MAR 05, 2024 11:02:22 AM"
"Dead Animal Removal","Environmental Services","1##","TECUMSEH","WARD 3","Citizen Mobile Apps","FEB 23, 2024 08:18:20 AM"
"Dead Animal Removal","Environmental Services","16##","OUELLETTE","WARD 3","Phone","FEB 23, 2024 09:31:12 AM"
"Dead Animal Removal","Environmental Services","22##","DOUGALL","WARD 3","Phone","FEB 23, 2024 11:36:49 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD W","WARD 3","Phone","FEB 23, 2024 08:54:49 AM"
"Dead Animal Removal","Environmental Services","0##","TECUMSEH","WARD 3","Phone","FEB 23, 2024 12:29:24 PM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD E","WARD 3","Phone","FEB 23, 2024 09:23:12 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD E","WARD 3","Phone","FEB 23, 2024 10:46:08 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD W","WARD 3","Phone","FEB 23, 2024 10:46:11 AM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 9","Phone","JAN 08, 2024 08:12:22 AM"
"Dead Animal Removal","Environmental Services","30##","SEMINOLE","WARD 5","Citizen Mobile Apps","JAN 08, 2024 10:01:15 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD E","WARD 3","Phone","FEB 23, 2024 11:06:25 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD E","WARD 3","E-Mail","FEB 23, 2024 11:46:52 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & TECUMSEH RD E","WARD 3","Phone","FEB 23, 2024 02:14:41 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW ON","WARD 10","Phone","JAN 10, 2024 08:14:16 AM"
"Dead Animal Removal","Environmental Services"," ","YPRES AVE & MOY AVE","WARD 4","Phone","JAN 10, 2024 10:15:11 AM"
"Dead Animal Removal","Environmental Services","25##","CURRY","WARD 10","Citizen Mobile Apps","JAN 21, 2024 05:54:44 PM"
"Dead Animal Removal","Environmental Services","4##","WYANDOTTE","WARD 3","Phone","JAN 26, 2024 02:56:32 PM"
"Dead Animal Removal","Environmental Services","11##","ISABELLE","WARD 6","Citizen Mobile Apps","JAN 26, 2024 07:48:02 PM"
"Dead Animal Removal","Environmental Services","10##","ST PAUL","WARD 6","Citizen Mobile Apps","JAN 26, 2024 08:06:16 PM"
"Dead Animal Removal","Environmental Services","15##","VIRTUE","WARD 6","Citizen Mobile Apps","JAN 27, 2024 01:57:11 PM"
"Dead Animal Removal","Environmental Services"," ","BUCKINGHAM RD & ONTARIO ST","WARD 6","Phone","JAN 12, 2024 08:56:28 AM"
"Dead Animal Removal","Environmental Services","31##","TURNER","WARD 9","Phone","FEB 01, 2024 08:35:04 AM"
"Dead Animal Removal","Environmental Services","10##","CATARAQUI","WARD 4","Phone","FEB 01, 2024 11:02:58 AM"
"Dead Animal Removal","Environmental Services","9##","CAMPBELL","WARD 2","Phone","FEB 01, 2024 12:15:52 PM"
"Dead Animal Removal","Environmental Services","9##","CAMPBELL","WARD 2","Phone","FEB 01, 2024 01:18:37 PM"
"Dead Animal Removal","Environmental Services","17##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 18, 2024 04:48:04 PM"
"Dead Animal Removal","Environmental Services","90##","RIVERSIDE","WARD 6","Phone","MAR 12, 2024 03:07:31 PM"
"Dead Animal Removal","Environmental Services","12##","NORTH TALBOT","WARD 1","Citizen Mobile Apps","MAR 12, 2024 03:09:26 PM"
"Dead Animal Removal","Environmental Services","87##","MCHUGH","WARD 6","E-Mail","MAR 13, 2024 01:01:26 PM"
"Dead Animal Removal","Environmental Services","16##","RIVERSIDE","WARD 4","Citizen Mobile Apps","JAN 28, 2024 01:14:59 PM"
"Dead Animal Removal","Environmental Services","32##","SANDWICH","WARD 2","Citizen Mobile Apps","JAN 28, 2024 01:47:22 PM"
"Dead Animal Removal","Environmental Services","22##","DOUGALL","WARD 3","Phone","JAN 29, 2024 11:37:23 AM"
"Dead Animal Removal","Environmental Services","10##","IMPERIAL","WARD 1","Phone","JAN 29, 2024 12:25:57 PM"
"Dead Animal Removal","Environmental Services","22##","DOUGALL","WARD 3","Phone","JAN 29, 2024 02:23:24 PM"
"Dead Animal Removal","Environmental Services"," ","TECUMSEH RD W & YORK ST","WARD 3","Phone","JAN 29, 2024 03:14:03 PM"
"Dead Animal Removal","Environmental Services","9##","ELM","WARD 3","Phone","JAN 02, 2024 01:44:14 PM"
"Dead Animal Removal","Environmental Services","20##","YPRES","WARD 4","Citizen Mobile Apps","FEB 09, 2024 07:02:18 AM"
"Dead Animal Removal","Environmental Services","26##","DOMINION","WARD 10","Phone","FEB 09, 2024 11:03:18 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & CADILLAC ST","WARD 5","Phone","FEB 12, 2024 02:03:12 PM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & DROUILLARD RD","WARD 5","Phone","FEB 12, 2024 03:18:12 PM"
"Dead Animal Removal","Environmental Services","15##","ARTHUR","WARD 5","Phone","FEB 12, 2024 03:34:14 PM"
"Dead Animal Removal","Environmental Services","2##","TUSCARORA","WARD 3","Citizen Mobile Apps","FEB 12, 2024 04:53:11 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 8","Citizen Mobile Apps","FEB 13, 2024 07:31:57 AM"
"Dead Animal Removal","Environmental Services","30##","RADISSON","WARD 1","Phone","FEB 13, 2024 08:06:21 AM"
"Dead Animal Removal","Environmental Services","94##","KERBY","WARD 7","Phone","FEB 13, 2024 09:11:07 AM"
"Dead Animal Removal","Environmental Services"," ","CONSERVATION DR & AZALIA CRES","WARD 9","Phone","FEB 13, 2024 11:00:27 AM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 8","Phone","FEB 13, 2024 11:51:05 AM"
"Dead Animal Removal","Environmental Services","11##","TUSCARORA","WARD 4","Phone","FEB 27, 2024 09:59:40 AM"
"Dead Animal Removal","Environmental Services","41##","7TH CON","WARD 9","Phone","FEB 27, 2024 10:01:44 AM"
"Dead Animal Removal","Environmental Services"," ","HOWARD AVE & NORTH TALBOT RD","WARD 1","Phone","FEB 21, 2024 08:39:48 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & REEDMERE RD","WARD 6","Phone","FEB 08, 2024 10:43:33 AM"
"Dead Animal Removal","Environmental Services","6##","KENNEDY","WARD 1","Phone","FEB 08, 2024 12:00:27 PM"
"Dead Animal Removal","Environmental Services"," ","LANGLOIS AVE & NORTH SERVICE RD","WARD 10","Phone","MAR 15, 2024 08:29:22 AM"
"Dead Animal Removal","Environmental Services"," ","WALKER RD & YPRES AVE","WARD 4","Phone","MAR 15, 2024 09:17:41 AM"
"Dead Animal Removal","Environmental Services"," ","NORTH SERVICE RD & LANGLOIS AVE","WARD 10","Phone","MAR 15, 2024 10:10:07 AM"
"Dead Animal Removal","Environmental Services","10##","SPRUCEWOOD","WARD 1","Citizen Mobile Apps","MAR 15, 2024 08:29:24 AM"
"Dead Animal Removal","Environmental Services"," ","SHEPHERD ST E & ELSMERE AVE","WARD 4","Phone","MAR 15, 2024 11:52:53 AM"
"Dead Animal Removal","Environmental Services","46##","HOWARD","WARD 1","Phone","FEB 21, 2024 08:35:42 AM"
"Dead Animal Removal","Environmental Services","14##","FELIX","WARD 2","Phone","FEB 21, 2024 09:02:02 AM"
"Dead Animal Removal","Environmental Services","46##","HOWARD","WARD 1","Phone","FEB 21, 2024 09:36:23 AM"
"Dead Animal Removal","Environmental Services","14##","FELIX","WARD 2","Phone","FEB 21, 2024 10:53:22 AM"
"Dead Animal Removal","Environmental Services","15##","CLOVER","WARD 7","Phone","FEB 21, 2024 03:00:18 PM"
"Dead Animal Removal","Environmental Services"," ","WYANDOTTE ST E & MARION AVE","WARD 4","Phone","FEB 22, 2024 08:37:04 AM"
"Dead Animal Removal","Environmental Services","56##","MALDEN","WARD 1","Citizen Mobile Apps","FEB 22, 2024 11:08:54 AM"
"Dead Animal Removal","Environmental Services","9##","GILES","WARD 4","Phone","FEB 22, 2024 01:46:47 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW ON","WARD 10","Citizen Mobile Apps","FEB 22, 2024 06:26:09 PM"
"Dead Animal Removal","Environmental Services","20##","NIAGARA","WARD 4","Phone","FEB 28, 2024 08:09:48 AM"
"Dead Animal Removal","Environmental Services"," ","LANGLOIS AVE & TUSCARORA ST","WARD 4","Phone","FEB 28, 2024 08:11:49 AM"
"Dead Animal Removal","Environmental Services","12##","CAMPBELL","WARD 2","Citizen Mobile Apps","FEB 28, 2024 08:58:22 AM"
"Dead Animal Removal","Environmental Services"," ","NIAGARA ST & MONMOUTH RD","WARD 4","Phone","FEB 28, 2024 09:12:31 AM"
"Dead Animal Removal","Environmental Services","13##","GEORGE","WARD 5","Citizen Mobile Apps","FEB 14, 2024 06:40:40 AM"
"Dead Animal Removal","Environmental Services","19##","ARTHUR","WARD 5","Citizen Mobile Apps","FEB 14, 2024 08:01:39 AM"
"Dead Animal Removal","Environmental Services","22##","LINCOLN","WARD 4","Phone","FEB 14, 2024 09:30:52 AM"
"Dead Animal Removal","Environmental Services"," ","GEORGE AVE & METCALFE ST","WARD 5","Phone","FEB 14, 2024 01:13:27 PM"
"Dead Animal Removal","Environmental Services"," ","GEORGE AVE & FRANKLIN ST","WARD 5","Phone","FEB 14, 2024 01:31:41 PM"
"Dead Animal Removal","Environmental Services","15##","DROUILLARD","WARD 5","Citizen Mobile Apps","FEB 14, 2024 02:06:04 PM"
"Dead Animal Removal","Environmental Services"," ","UNIVERSITY","WARD 10","Citizen Mobile Apps","FEB 09, 2024 05:21:46 PM"
"Dead Animal Removal","Environmental Services","23##","SANTO","WARD 1","Citizen Mobile Apps","FEB 10, 2024 08:08:31 AM"
"Dead Animal Removal","Environmental Services","27##","DOMINION","WARD 10","Citizen Mobile Apps","FEB 10, 2024 12:43:50 PM"
"Dead Animal Removal","Environmental Services","3##","SPRUCEWOOD","WARD 1","Citizen Mobile Apps","FEB 10, 2024 02:45:18 PM"
"Dead Animal Removal","Environmental Services","73##","42","WARD 9","Citizen Mobile Apps","FEB 11, 2024 02:22:29 PM"
"Dead Animal Removal","Environmental Services","17##","BENJAMIN","WARD 4","Phone","MAR 01, 2024 08:51:21 AM"
"Dead Animal Removal","Environmental Services","24##","OUELLETTE","WARD 10","Citizen Mobile Apps","MAR 01, 2024 09:15:35 AM"
"Dead Animal Removal","Environmental Services","25##","OUELLETTE","WARD 10","Phone","MAR 01, 2024 09:19:36 AM"
"Dead Animal Removal","Environmental Services"," ","OUELLETTE AVE & EUGENIE ST E","WARD 10","Phone","MAR 01, 2024 09:33:46 AM"
"Dead Animal Removal","Environmental Services","25##","MCDOUGALL","WARD 10","Citizen Mobile Apps","MAR 01, 2024 12:56:15 PM"
"Dead Animal Removal","Environmental Services","10##","WIGLE","WARD 2","Phone","MAR 01, 2024 01:46:50 PM"
"Dead Animal Removal","Environmental Services","24##","OUELLETTE","WARD 10","Citizen Mobile Apps","MAR 01, 2024 12:33:58 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 8","Phone","FEB 12, 2024 10:12:18 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & STRABANE AVE","WARD 5","Phone","FEB 12, 2024 10:26:23 AM"
"Dead Animal Removal","Environmental Services","99##","KENWOOD","WARD 7","Citizen Mobile Apps","FEB 12, 2024 10:52:41 AM"
"Dead Animal Removal","Environmental Services","5##","NORTH TALBOT","WARD 1","Phone","FEB 15, 2024 09:38:18 AM"
"Dead Animal Removal","Environmental Services","9##","PARENT","WARD 4","Citizen Mobile Apps","FEB 15, 2024 09:42:19 AM"
"Dead Animal Removal","Environmental Services","11##","JEFFERSON","WARD 6","Citizen Mobile Apps","FEB 15, 2024 10:06:38 AM"
"Dead Animal Removal","Environmental Services","17##","SUN VALLEY","WARD 2","Phone","MAR 06, 2024 08:05:45 AM"
"Dead Animal Removal","Environmental Services","35##","SANDWICH","WARD 2","Citizen Mobile Apps","MAR 06, 2024 08:32:03 AM"
"Dead Animal Removal","Environmental Services","10##","SPRUCEWOOD","WARD 1","Citizen Mobile Apps","MAR 06, 2024 08:44:13 AM"
"Dead Animal Removal","Environmental Services","14##","SOUTH PACIFIC","WARD 10","Phone","MAR 06, 2024 02:52:41 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 10","E-Mail","FEB 01, 2024 12:58:22 PM"
"Dead Animal Removal","Environmental Services","23##","BERNARD","WARD 5","Phone","FEB 01, 2024 03:30:11 PM"
"Dead Animal Removal","Environmental Services","15##","SENECA","WARD 4","Phone","FEB 01, 2024 03:38:20 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW ON","WARD 10","Phone","FEB 01, 2024 03:50:27 PM"
"Dead Animal Removal","Environmental Services","3##","JOHN B","WARD 2","Citizen Mobile Apps","FEB 02, 2024 07:49:57 AM"
"Dead Animal Removal","Environmental Services"," ","LITTLE RIVER ACRES DR & ARNCLIFFE PL","WARD 6","Phone","FEB 02, 2024 10:21:46 AM"
"Dead Animal Removal","Environmental Services"," ","RHOLAINE DR & WYANDOTTE ST E","WARD 6","Phone","FEB 02, 2024 10:23:48 AM"
"Dead Animal Removal","Environmental Services","11##","CHILVER","WARD 4","Citizen Mobile Apps","MAR 01, 2024 11:47:23 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE","WARD 5","Citizen Mobile Apps","MAR 01, 2024 07:53:14 PM"
"Dead Animal Removal","Environmental Services","8##","EDWARD","WARD 6","Web Intake","MAR 02, 2024 03:10:20 PM"
"Dead Animal Removal","Environmental Services","31##","WYANDOTTE","WARD 5","Citizen Mobile Apps","MAR 03, 2024 11:46:31 AM"
"Dead Animal Removal","Environmental Services","16##","ARMANDA","WARD 1","Citizen Mobile Apps","MAR 03, 2024 04:46:07 PM"
"Dead Animal Removal","Environmental Services","39##","RIBERDY","WARD 9","Phone","MAR 04, 2024 09:33:49 AM"
"Dead Animal Removal","Environmental Services","9##","LAWRENCE","WARD 6","Phone","FEB 05, 2024 11:30:45 AM"
"Dead Animal Removal","Environmental Services","15##","CABANA","WARD 1","E-Mail","FEB 05, 2024 01:48:20 PM"
"Dead Animal Removal","Environmental Services","19##","DOMINION","WARD 10","Phone","FEB 06, 2024 10:55:39 AM"
"Dead Animal Removal","Environmental Services"," ","UNIVERSITY","WARD 10","Citizen Mobile Apps","FEB 06, 2024 11:48:13 AM"
"Dead Animal Removal","Environmental Services"," ","CENTRAL AVE & NORTH SERVICE RD E","WARD 5","E-Mail","MAR 04, 2024 09:56:09 AM"
"Dead Animal Removal","Environmental Services","9##","ST MARY'S","WARD 6","Phone","MAR 04, 2024 12:13:43 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW RAMP E & LAUZON PKY","WARD 9","Phone","MAR 07, 2024 11:19:58 AM"
"Dead Animal Removal","Environmental Services"," ","WALKER RD & EC ROW COLLECTOR NORTH N","WARD 5","Phone","MAR 07, 2024 01:45:43 PM"
"Dead Animal Removal","Environmental Services","34##","HEMLOCK","WARD 7","Citizen Mobile Apps","MAR 07, 2024 06:04:52 PM"
"Dead Animal Removal","Environmental Services","15##","WESTMINSTER","WARD 8","Phone","MAR 08, 2024 10:11:03 AM"
"Dead Animal Removal","Environmental Services","107##","MULBERRY","WARD 7","Phone","FEB 16, 2024 08:41:16 AM"
"Dead Animal Removal","Environmental Services","8##","COUSINEAU","WARD 1","Phone","FEB 16, 2024 08:14:56 AM"
"Dead Animal Removal","Environmental Services","107##","MULBERRY","WARD 7","Phone","FEB 16, 2024 11:07:06 AM"
"Dead Animal Removal","Environmental Services","107##","MULBERRY","WARD 7","Phone","FEB 16, 2024 01:18:37 PM"
"Dead Animal Removal","Environmental Services","8##","COUSINEAU","WARD 1","E-Mail","FEB 16, 2024 03:50:31 PM"
"Dead Animal Removal","Environmental Services","40##","SANDWICH","WARD 2","Citizen Mobile Apps","FEB 26, 2024 07:32:08 AM"
"Dead Animal Removal","Environmental Services","4##","WATSON","WARD 6","Phone","FEB 02, 2024 02:02:25 PM"
"Dead Animal Removal","Environmental Services","8##","DUCHARME","WARD 9","Citizen Mobile Apps","FEB 04, 2024 08:02:40 AM"
"Dead Animal Removal","Environmental Services","10##","CURRY","WARD 2","Citizen Mobile Apps","FEB 04, 2024 10:37:06 PM"
"Dead Animal Removal","Environmental Services","29##","FOREST GLADE","WARD 7","Phone","FEB 05, 2024 08:06:17 AM"
"Dead Animal Removal","Environmental Services"," ","MOUNTBATTEN CRES & RIVERSIDE DR E","WARD 7","Phone","MAR 13, 2024 09:53:59 AM"
"Dead Animal Removal","Environmental Services","5##","CLOVER","WARD 7","Phone","MAR 13, 2024 02:05:55 PM"
"Dead Animal Removal","Environmental Services","10##","PARENT","WARD 4","Phone","MAR 13, 2024 02:40:11 PM"
"Dead Animal Removal","Environmental Services","95##","RIVERSIDE","WARD 7","Phone","MAR 13, 2024 03:34:37 PM"
"Dead Animal Removal","Environmental Services","19##","ONTARIO","WARD 4","Phone","MAR 14, 2024 08:14:13 AM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 9","Citizen Mobile Apps","MAR 06, 2024 12:45:06 PM"
"Dead Animal Removal","Environmental Services","42##","MALDEN","WARD 2","Citizen Mobile Apps","MAR 07, 2024 07:37:16 AM"
"Dead Animal Removal","Environmental Services","36##","DEERBROOK","WARD 7","Citizen Mobile Apps","MAR 07, 2024 07:41:19 AM"
"Dead Animal Removal","Environmental Services"," ","ST ROSE AVE & LAUZON RD","WARD 6","Phone","MAR 07, 2024 08:05:37 AM"
"Dead Animal Removal","Environmental Services","23##","NORMAN","WARD 8","Phone","MAR 07, 2024 09:26:36 AM"
"Dead Animal Removal","Environmental Services","20##","RIVERSIDE","WARD 4","Phone","MAR 07, 2024 10:57:41 AM"
"Dead Animal Removal","Environmental Services"," ","KILDARE RD & ONTARIO ST","WARD 4","Phone","MAR 14, 2024 09:34:50 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR E & MOUNTBATTEN CRES","WARD 7","Phone","MAR 14, 2024 10:55:26 AM"
"Dead Animal Removal","Environmental Services","54##","MALDEN","WARD 1","Citizen Mobile Apps","MAR 14, 2024 01:32:38 PM"
"Dead Animal Removal","Environmental Services"," ","MOUNTBATTEN CRES & RIVERSIDE DR E","WARD 7","Phone","MAR 13, 2024 10:48:25 AM"
"Dead Animal Removal","Environmental Services","10##","PARENT","WARD 4","Phone","MAR 13, 2024 02:48:18 PM"
"Dead Animal Removal","Environmental Services","27##","FOREST GLADE","WARD 7","Phone","FEB 20, 2024 08:38:22 AM"
"Dead Animal Removal","Environmental Services"," ","BRUCE AVE & ERIE ST W","WARD 3","Phone","FEB 20, 2024 08:44:26 AM"
"Dead Animal Removal","Environmental Services","9##","REEDMERE","WARD 6","Phone","FEB 20, 2024 09:53:17 AM"
"Dead Animal Removal","Environmental Services"," ","LOGAN AVE & MCDOUGALL ST","WARD 3","Phone","FEB 20, 2024 10:23:37 AM"
"Dead Animal Removal","Environmental Services"," ","EDINBOROUGH ST & WINDSOR AVE","WARD 10","Phone","FEB 20, 2024 11:56:45 AM"
"Dead Animal Removal","Environmental Services","15##","DROUILLARD","WARD 5","Citizen Mobile Apps","FEB 20, 2024 03:43:26 PM"
"Dead Animal Removal","Environmental Services","9##","ST MARY'S","WARD 6","Citizen Mobile Apps","MAR 10, 2024 05:59:35 PM"
"Dead Animal Removal","Environmental Services","25##","TOURANGEAU","WARD 5","Phone","MAR 11, 2024 08:54:53 AM"
"Dead Animal Removal","Environmental Services","21##","LONGFELLOW","WARD 10","Phone","MAR 11, 2024 11:40:48 AM"
"Dead Animal Removal","Environmental Services","10##","ST LOUIS","WARD 6","Web Intake","MAR 11, 2024 12:55:26 PM"
