"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Garbage Not Collected","Environmental Services","1##","MARLIN","WARD 9","Phone","JAN 05, 2024 11:47:46 AM"
"Garbage Not Collected","Environmental Services","6##","CARTIER","WARD 1","Phone","FEB 12, 2024 09:31:45 AM"
"Garbage Not Collected","Environmental Services","35##","DOMINION","WARD 1","Phone","FEB 12, 2024 11:04:51 AM"
"Garbage Not Collected","Environmental Services","34##","ANCASTER","WARD 1","Phone","FEB 12, 2024 11:37:17 AM"
"Garbage Not Collected","Environmental Services","13##","WYANDOTTE","WARD 4","E-Mail","FEB 13, 2024 10:42:11 AM"
"Garbage Not Collected","Environmental Services","43##","SPAGO","WARD 9","E-Mail","JAN 17, 2024 09:02:46 AM"
"Garbage Not Collected","Environmental Services","47##","SHADETREE","WARD 1","E-Mail","JAN 17, 2024 09:28:55 AM"
"Garbage Not Collected","Environmental Services","12##","KAMLOOPS","WARD 9","Phone","JAN 17, 2024 02:05:01 PM"
"Garbage Not Collected","Environmental Services","22##","HIGHLAND","WARD 3","Web Intake","JAN 23, 2024 05:39:19 PM"
"Garbage Not Collected","Environmental Services","11##","DOUGALL","WARD 3","Phone","JAN 24, 2024 08:47:37 AM"
"Garbage Not Collected","Environmental Services","34##","TURNER","WARD 9","Phone","JAN 25, 2024 08:34:46 AM"
"Garbage Not Collected","Environmental Services","11##","MARION","WARD 4","Phone","JAN 23, 2024 01:24:40 PM"
"Garbage Not Collected","Environmental Services","2##","FORD","WARD 6","Phone","FEB 28, 2024 11:24:09 AM"
"Garbage Not Collected","Environmental Services","12##","VIRGINIA","WARD 6","Citizen Mobile Apps","JAN 20, 2024 07:05:18 AM"
"Garbage Not Collected","Environmental Services","41##","SPAGO","WARD 9","Phone","FEB 27, 2024 02:55:11 PM"
"Garbage Not Collected","Environmental Services","4##","AYLMER","WARD 3","Phone","FEB 28, 2024 09:22:39 AM"
"Garbage Not Collected","Environmental Services","18##","DROUILLARD","WARD 5","Phone","FEB 28, 2024 09:53:00 AM"
"Garbage Not Collected","Environmental Services","5##","ROSELAND","WARD 1","Phone","FEB 28, 2024 10:21:21 AM"
"Garbage Not Collected","Environmental Services","25##","CHANDLER","WARD 5","Web Intake","JAN 10, 2024 10:39:34 AM"
"Garbage Not Collected","Environmental Services","20##","ROCKPORT","WARD 9","Phone","FEB 27, 2024 11:45:09 AM"
"Garbage Not Collected","Environmental Services","12##","CABANA","WARD 1","Phone","JAN 24, 2024 11:55:54 AM"
"Garbage Not Collected","Environmental Services","31##","MCROBBIE","WARD 7","Phone","JAN 26, 2024 09:36:46 AM"
"Garbage Not Collected","Environmental Services","5##","ALEXANDRINE","WARD 10","Phone","JAN 09, 2024 03:32:38 PM"
"Garbage Not Collected","Environmental Services","1##","MCKAY","WARD 2","Phone","JAN 10, 2024 02:02:55 PM"
"Garbage Not Collected","Environmental Services","4##","KARL","WARD 3","Phone","JAN 16, 2024 03:18:39 PM"
"Garbage Not Collected","Environmental Services","42##","8TH CON","WARD 9","Citizen Mobile Apps","JAN 11, 2024 10:57:55 PM"
"Garbage Not Collected","Environmental Services","50##","TECUMSEH","WARD 8","Phone","JAN 12, 2024 08:06:05 AM"
"Garbage Not Collected","Environmental Services","38##","ARISTOTLE","WARD 9","Phone","JAN 12, 2024 03:51:39 PM"
"Garbage Not Collected","Environmental Services","19##","NORTHWAY","WARD 10","Phone","JAN 15, 2024 02:43:31 PM"
"Garbage Not Collected","Environmental Services","38##","MONTCALM","WARD 2","Phone","JAN 15, 2024 02:51:30 PM"
"Garbage Not Collected","Environmental Services","27##","NORMAN","WARD 8","Phone","JAN 19, 2024 08:18:51 AM"
"Garbage Not Collected","Environmental Services","9##","GLADSTONE","WARD 4","Phone","JAN 23, 2024 09:01:31 AM"
"Garbage Not Collected","Environmental Services","13##","PIERRE","WARD 4","Phone","JAN 23, 2024 10:34:38 AM"
"Garbage Not Collected","Environmental Services","2##","GILES","WARD 3","Phone","JAN 23, 2024 12:48:17 PM"
"Garbage Not Collected","Environmental Services","9##","OAK","WARD 3","Phone","JAN 23, 2024 01:06:29 PM"
"Garbage Not Collected","Environmental Services","40##","ROSELAND","WARD 1","Phone","JAN 23, 2024 01:26:46 PM"
"Garbage Not Collected","Environmental Services","12##","RANKIN","WARD 2","Citizen Mobile Apps","JAN 01, 2024 10:15:41 AM"
"Garbage Not Collected","Environmental Services","32##","PETER","WARD 2","Phone","JAN 02, 2024 02:20:31 PM"
"Garbage Not Collected","Environmental Services","9##","PARTINGTON","WARD 2","Phone","JAN 02, 2024 03:16:55 PM"
"Garbage Not Collected","Environmental Services","9##","LAWRENCE","WARD 6","Phone","FEB 22, 2024 10:08:16 AM"
"Garbage Not Collected","Environmental Services","9##","ARTHUR","WARD 5","Phone","FEB 22, 2024 10:44:40 AM"
"Garbage Not Collected","Environmental Services","11##","ALBERT","WARD 5","Phone","FEB 22, 2024 02:05:01 PM"
"Garbage Not Collected","Environmental Services","8##","UNIVERSITY","WARD 3","Citizen Mobile Apps","FEB 22, 2024 05:35:32 PM"
"Garbage Not Collected","Environmental Services","87##","WYANDOTTE","WARD 6","Phone","JAN 18, 2024 08:21:56 AM"
"Garbage Not Collected","Environmental Services","52##","WYANDOTTE","WARD 6","Phone","JAN 18, 2024 08:25:59 AM"
"Garbage Not Collected","Environmental Services","4##","MOUNTBATTEN","WARD 7","Citizen Mobile Apps","JAN 18, 2024 03:25:08 PM"
"Garbage Not Collected","Environmental Services","71##","ISABELLE","WARD 6","Citizen Mobile Apps","JAN 18, 2024 05:17:59 PM"
"Garbage Not Collected","Environmental Services","7##","CAPITOL","WARD 10","Phone","FEB 06, 2024 10:07:01 AM"
"Garbage Not Collected","Environmental Services","28##","CALIFORNIA","WARD 10","Phone","MAR 04, 2024 11:47:29 AM"
"Garbage Not Collected","Environmental Services","3##","JOSEPHINE","WARD 2","Phone","MAR 04, 2024 01:52:58 PM"
"Garbage Not Collected","Environmental Services","30##","ROCKWELL","WARD 1","Phone","MAR 04, 2024 02:39:31 PM"
"Garbage Not Collected","Environmental Services","19##","ELGIN","WARD 1","Phone","MAR 05, 2024 08:36:38 AM"
"Garbage Not Collected","Environmental Services","26##","COLUMBIA","WARD 10","Phone","MAR 05, 2024 08:42:45 AM"
"Garbage Not Collected","Environmental Services","1##","CURRY","WARD 2","Phone","MAR 11, 2024 02:00:27 PM"
"Garbage Not Collected","Environmental Services","10##","ELLIS","WARD 4","Phone","MAR 12, 2024 08:40:15 AM"
"Garbage Not Collected","Environmental Services","7##","PIERRE","WARD 4","Phone","MAR 12, 2024 09:22:47 AM"
"Garbage Not Collected","Environmental Services","5##","GROVE","WARD 3","Phone","JAN 09, 2024 10:00:15 AM"
"Garbage Not Collected","Environmental Services","6##","CAMERON","WARD 2","Phone","JAN 22, 2024 11:53:31 AM"
"Garbage Not Collected","Environmental Services","13##","DOUGALL","WARD 3","Phone","JAN 16, 2024 01:19:45 PM"
"Garbage Not Collected","Environmental Services","11##","JEFFERSON","WARD 6","Phone","JAN 17, 2024 09:14:52 AM"
"Garbage Not Collected","Environmental Services","16##","PIERRE","WARD 4","Phone","JAN 03, 2024 09:59:24 AM"
"Garbage Not Collected","Environmental Services","14##","BRUCE","WARD 3","Phone","JAN 03, 2024 10:23:35 AM"
"Garbage Not Collected","Environmental Services","10##","ROSELAWN","WARD 1","Phone","JAN 03, 2024 01:45:09 PM"
"Garbage Not Collected","Environmental Services","5##","JOHN HARVEY","WARD 9","Phone","JAN 03, 2024 02:25:27 PM"
"Garbage Not Collected","Environmental Services","4##","OAK","WARD 3","Phone","JAN 03, 2024 03:05:46 PM"
"Garbage Not Collected","Environmental Services","4##","NEAL","WARD 1","Phone","JAN 04, 2024 08:57:24 AM"
"Garbage Not Collected","Environmental Services","38##","SIXTH CONCESSION","WARD 9","Phone","JAN 04, 2024 11:22:37 AM"
"Garbage Not Collected","Environmental Services","14##","BRUCE","WARD 3","Phone","JAN 18, 2024 09:42:36 AM"
"Garbage Not Collected","Environmental Services","52##","LASSALINE","WARD 8","Phone","JAN 19, 2024 01:39:19 PM"
"Garbage Not Collected","Environmental Services","8##","ISACK","WARD 6","Phone","JAN 18, 2024 08:58:12 AM"
"Garbage Not Collected","Environmental Services","7##","UNIVERSITY","WARD 3","Citizen Mobile Apps","FEB 22, 2024 05:35:34 PM"
"Garbage Not Collected","Environmental Services","18##","WESTMINSTER","WARD 8","Phone","FEB 23, 2024 11:10:25 AM"
"Garbage Not Collected","Environmental Services","11##","WINDERMERE","WARD 4","Phone","FEB 23, 2024 08:06:11 AM"
"Garbage Not Collected","Environmental Services","21##","VICTORIA","WARD 3","Phone","FEB 23, 2024 08:22:23 AM"
"Garbage Not Collected","Environmental Services","12##","ARNCLIFFE","WARD 6","Citizen Mobile Apps","JAN 08, 2024 08:50:40 AM"
"Garbage Not Collected","Environmental Services","20##","HUDSON","WARD 2","Phone","MAR 05, 2024 09:11:02 AM"
"Garbage Not Collected","Environmental Services","24##","CABANA","WARD 1","Phone","MAR 05, 2024 09:47:31 AM"
"Garbage Not Collected","Environmental Services","12##","EASTLAWN","WARD 6","Citizen Mobile Apps","JAN 06, 2024 01:53:32 PM"
"Garbage Not Collected","Environmental Services","12##","DROUILLARD","WARD 5","Citizen Mobile Apps","JAN 07, 2024 08:41:35 PM"
"Garbage Not Collected","Environmental Services","13##","WYANDOTTE","WARD 4","Web Intake","FEB 22, 2024 05:40:07 AM"
"Garbage Not Collected","Environmental Services","13##","TOTTEN","WARD 10","Phone","JAN 08, 2024 11:56:03 AM"
"Garbage Not Collected","Environmental Services","13##","WYANDOTTE","WARD 4","Citizen Mobile Apps","FEB 22, 2024 06:03:13 AM"
"Garbage Not Collected","Environmental Services","13##","WYANDOTTE","WARD 4","E-Mail","FEB 22, 2024 08:30:59 AM"
"Garbage Not Collected","Environmental Services","104##","PEPPERVINE","WARD 7","Phone","FEB 22, 2024 11:49:22 AM"
"Garbage Not Collected","Environmental Services","35##","DANDURAND","WARD 1","Phone","JAN 08, 2024 12:26:21 PM"
"Garbage Not Collected","Environmental Services","16##","PRINCE","WARD 2","Phone","JAN 08, 2024 03:15:35 PM"
"Garbage Not Collected","Environmental Services","24##","CABANA","WARD 1","Phone","JAN 09, 2024 11:06:38 AM"
"Garbage Not Collected","Environmental Services","10##","ERIE","WARD 4","Citizen Mobile Apps","FEB 21, 2024 10:27:41 PM"
"Garbage Not Collected","Environmental Services","1##","GILES","WARD 3","Phone","JAN 09, 2024 02:06:02 PM"
"Garbage Not Collected","Environmental Services","18##","FORD","WARD 8","Phone","MAR 08, 2024 09:42:38 AM"
"Garbage Not Collected","Environmental Services","9##","BANWELL","WARD 7","Phone","FEB 08, 2024 03:53:17 PM"
"Garbage Not Collected","Environmental Services","20##","PENANG","WARD 7","Phone","FEB 09, 2024 08:51:36 AM"
"Garbage Not Collected","Environmental Services","5##","COMPTON","WARD 9","Phone","JAN 16, 2024 11:12:50 AM"
"Garbage Not Collected","Environmental Services","42##","STAGECOACH","WARD 1","Phone","JAN 16, 2024 09:30:03 AM"
"Garbage Not Collected","Environmental Services","45##","TUMBLEWEED","WARD 1","Phone","JAN 16, 2024 10:24:27 AM"
"Garbage Not Collected","Environmental Services","16##","CURRY","WARD 10","Phone","JAN 16, 2024 02:56:38 PM"
"Garbage Not Collected","Environmental Services","1##","HANNA","WARD 3","Phone","JAN 16, 2024 03:50:54 PM"
"Garbage Not Collected","Environmental Services","6##","CAMERON","WARD 2","Phone","JAN 22, 2024 11:51:34 AM"
"Garbage Not Collected","Environmental Services","57##","REGINALD","WARD 8","Phone","JAN 05, 2024 02:06:41 PM"
"Garbage Not Collected","Environmental Services","80##","HANDY","WARD 6","Citizen Mobile Apps","FEB 22, 2024 02:59:44 PM"
"Garbage Not Collected","Environmental Services","3##","MCKAY","WARD 2","Citizen Mobile Apps","FEB 22, 2024 05:03:09 PM"
"Garbage Not Collected","Environmental Services","103##","CALEDON","WARD 7","Phone","FEB 23, 2024 09:49:28 AM"
"Garbage Not Collected","Environmental Services","22##","WOODLAWN","WARD 4","Phone","FEB 23, 2024 11:38:45 AM"
"Garbage Not Collected","Environmental Services","28##","MCMAHON","WARD 8","Phone","JAN 26, 2024 08:36:03 AM"
"Garbage Not Collected","Environmental Services","16##","EVERTS","WARD 10","Phone","JAN 26, 2024 12:51:03 PM"
"Garbage Not Collected","Environmental Services","12##","EASTLAWN","WARD 6","Phone","JAN 09, 2024 10:12:12 AM"
"Garbage Not Collected","Environmental Services","6##","NIAGARA","WARD 4","Phone","JAN 09, 2024 10:24:18 AM"
"Garbage Not Collected","Environmental Services","14##","DUFFERIN","WARD 3","Phone","JAN 09, 2024 11:48:59 AM"
"Garbage Not Collected","Environmental Services","5##","CHATHAM","WARD 3","Phone","JAN 08, 2024 01:10:41 PM"
"Garbage Not Collected","Environmental Services","5##","MOUNTBATTEN","WARD 7","Phone","JAN 11, 2024 02:58:16 PM"
"Garbage Not Collected","Environmental Services","15##","BARKLEY","WARD 7","Phone","JAN 11, 2024 10:04:08 AM"
"Garbage Not Collected","Environmental Services","16##","CYPRESS","WARD 7","Phone","JAN 11, 2024 11:02:29 AM"
"Garbage Not Collected","Environmental Services","10##","LAUZON","WARD 6","Phone","JAN 11, 2024 01:23:34 PM"
"Garbage Not Collected","Environmental Services","18##","ST LUKE","WARD 5","Phone","JAN 11, 2024 01:35:39 PM"
"Garbage Not Collected","Environmental Services","65##","RIVERSIDE","WARD 6","Phone","JAN 05, 2024 08:12:00 AM"
"Garbage Not Collected","Environmental Services","18##","TRAPPERS","WARD 7","Phone","JAN 05, 2024 09:56:47 AM"
"Garbage Not Collected","Environmental Services","10##","COPELAND","WARD 7","Phone","JAN 05, 2024 11:51:42 AM"
"Garbage Not Collected","Environmental Services","16##","GROVE","WARD 2","Phone","JAN 29, 2024 01:44:54 PM"
"Garbage Not Collected","Environmental Services","23##","TECUMSEH","WARD 2","Phone","JAN 29, 2024 10:20:27 AM"
"Garbage Not Collected","Environmental Services","37##","MCKAY","WARD 1","Phone","JAN 29, 2024 10:20:48 AM"
"Garbage Not Collected","Environmental Services","38##","TULIP","WARD 9","Phone","JAN 29, 2024 10:52:50 AM"
"Garbage Not Collected","Environmental Services","16##","CURRY","WARD 10","Phone","JAN 29, 2024 09:09:44 AM"
"Garbage Not Collected","Environmental Services","22##","UNION","WARD 2","Phone","JAN 30, 2024 11:24:28 AM"
"Garbage Not Collected","Environmental Services","22##","UNION","WARD 2","Phone","JAN 30, 2024 02:24:38 PM"
"Garbage Not Collected","Environmental Services","12##","LABOUR","WARD 9","Phone","FEB 01, 2024 09:13:29 AM"
"Garbage Not Collected","Environmental Services","2##","BARRACUDA","WARD 9","Phone","FEB 01, 2024 02:31:29 PM"
"Garbage Not Collected","Environmental Services","9##","MCKAY","WARD 2","Phone","JAN 23, 2024 11:39:24 AM"
"Garbage Not Collected","Environmental Services","11##","LINCOLN","WARD 4","Citizen Mobile Apps","JAN 24, 2024 07:03:25 AM"
"Garbage Not Collected","Environmental Services","4##","PIERRE","WARD 4","Phone","JAN 24, 2024 10:22:45 AM"
"Garbage Not Collected","Environmental Services","9##","ARTHUR","WARD 5","Phone","JAN 24, 2024 10:57:15 AM"
"Garbage Not Collected","Environmental Services","4##","CHURCH","WARD 3","Phone","JAN 24, 2024 10:57:17 AM"
"Garbage Not Collected","Environmental Services","10##","VILLAIRE","WARD 6","Phone","JAN 24, 2024 02:21:37 PM"
"Garbage Not Collected","Environmental Services","12##","DROUILLARD","WARD 5","Phone","JAN 24, 2024 02:29:48 PM"
"Garbage Not Collected","Environmental Services","16##","HOWARD","WARD 3","Phone","JAN 24, 2024 03:34:30 PM"
"Garbage Not Collected","Environmental Services","18##","PILLETTE","WARD 5","Phone","JAN 25, 2024 10:14:01 AM"
"Garbage Not Collected","Environmental Services","8##","WINDSOR","WARD 3","Phone","FEB 21, 2024 11:09:35 AM"
"Garbage Not Collected","Environmental Services","47##","RIVERSIDE","WARD 6","E-Mail","FEB 22, 2024 12:38:01 PM"
"Garbage Not Collected","Environmental Services","12##","WIGLE","WARD 2","Phone","JAN 02, 2024 02:20:29 PM"
"Garbage Not Collected","Environmental Services","54##","TECUMSEH","WARD 8","Phone","JAN 25, 2024 10:18:01 AM"
"Garbage Not Collected","Environmental Services","9##","OAK","WARD 3","Phone","JAN 25, 2024 12:49:48 PM"
"Garbage Not Collected","Environmental Services","23##","MAITLAND","WARD 7","Phone","JAN 25, 2024 03:33:46 PM"
"Garbage Not Collected","Environmental Services","12##","KILDARE","WARD 4","Citizen Mobile Apps","JAN 25, 2024 04:12:11 PM"
"Garbage Not Collected","Environmental Services","50##","TECUMSEH","WARD 8","Phone","JAN 26, 2024 08:11:49 AM"
"Garbage Not Collected","Environmental Services","5##","JOHN HARVEY","WARD 9","Phone","JAN 02, 2024 04:01:14 PM"
"Garbage Not Collected","Environmental Services","7##","CATARAQUI","WARD 4","Phone","JAN 26, 2024 08:38:04 AM"
"Garbage Not Collected","Environmental Services","2##","FAIRVIEW","WARD 6","Phone","FEB 23, 2024 01:11:54 PM"
"Garbage Not Collected","Environmental Services","13##","PARTINGTON","WARD 2","Citizen Mobile Apps","FEB 23, 2024 08:01:01 PM"
"Garbage Not Collected","Environmental Services","2##","HAMPTON","WARD 9","Phone","JAN 02, 2024 12:03:26 PM"
"Garbage Not Collected","Environmental Services","15##","CURRY","WARD 10","Citizen Mobile Apps","MAR 13, 2024 03:10:23 PM"
"Garbage Not Collected","Environmental Services","5##","COMPTON","WARD 9","Phone","JAN 29, 2024 02:49:40 PM"
"Garbage Not Collected","Environmental Services","27##","EVERTS","WARD 10","Phone","JAN 29, 2024 03:46:18 PM"
"Garbage Not Collected","Environmental Services","34##","BARRYMORE","WARD 2","Citizen Mobile Apps","JAN 29, 2024 06:01:57 PM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 11, 2024 01:44:18 PM"
"Garbage Not Collected","Environmental Services","25##","ASKIN","WARD 10","Phone","MAR 12, 2024 02:21:03 PM"
"Garbage Not Collected","Environmental Services","13##","GLADSTONE","WARD 4","Phone","MAR 12, 2024 03:59:53 PM"
"Garbage Not Collected","Environmental Services","3##","AYLMER","WARD 4","Phone","MAR 13, 2024 10:02:03 AM"
"Garbage Not Collected","Environmental Services","9##","ISABELLE","WARD 6","Citizen Mobile Apps","JAN 11, 2024 05:55:37 PM"
"Garbage Not Collected","Environmental Services","9##","GLADSTONE","WARD 4","Phone","MAR 13, 2024 11:10:43 AM"
"Garbage Not Collected","Environmental Services","22##","CHURCH","WARD 3","Phone","MAR 12, 2024 08:24:04 AM"
"Garbage Not Collected","Environmental Services","37##","NORTH SERVICE","WARD 5","Citizen Mobile Apps","JAN 11, 2024 10:57:56 PM"
"Garbage Not Collected","Environmental Services","9##","ISABELLE","WARD 6","E-Mail","JAN 12, 2024 08:18:10 AM"
"Garbage Not Collected","Environmental Services","110##","TECUMSEH","WARD 7","Phone","FEB 08, 2024 01:47:47 PM"
"Garbage Not Collected","Environmental Services","23##","UNIVERSITY","WARD 2","Phone","FEB 12, 2024 11:47:27 AM"
"Garbage Not Collected","Environmental Services","9##","PARTINGTON","WARD 2","Phone","FEB 12, 2024 04:00:39 PM"
"Garbage Not Collected","Environmental Services","22##","DOMINION","WARD 10","Phone","FEB 27, 2024 08:26:35 AM"
"Garbage Not Collected","Environmental Services","20##","DAYTONA","WARD 10","Phone","FEB 26, 2024 08:38:56 AM"
"Garbage Not Collected","Environmental Services","12##","WYANDOTTE","WARD 2","Phone","FEB 26, 2024 03:41:58 PM"
"Garbage Not Collected","Environmental Services","10##","LENA","WARD 2","Phone","FEB 06, 2024 09:18:24 AM"
"Garbage Not Collected","Environmental Services","34##","WOODWARD","WARD 9","Phone","FEB 06, 2024 01:49:40 PM"
"Garbage Not Collected","Environmental Services","52##","WYANDOTTE","WARD 6","Phone","FEB 08, 2024 08:07:45 AM"
"Garbage Not Collected","Environmental Services","8##","VILLAIRE","WARD 6","Phone","FEB 08, 2024 08:09:42 AM"
"Garbage Not Collected","Environmental Services","23##","MARK","WARD 10","Phone","MAR 11, 2024 11:10:30 AM"
"Garbage Not Collected","Environmental Services","26##","ASKIN","WARD 10","Phone","MAR 11, 2024 03:07:14 PM"
"Garbage Not Collected","Environmental Services","23##","GLENWOOD","WARD 10","Phone","MAR 11, 2024 03:53:52 PM"
"Garbage Not Collected","Environmental Services","32##","DANDURAND","WARD 1","Phone","MAR 12, 2024 11:19:50 AM"
"Garbage Not Collected","Environmental Services","42##","CANBERRA","WARD 9","Phone","MAR 13, 2024 09:43:57 AM"
"Garbage Not Collected","Environmental Services","98##","LYNNGROVE","WARD 7","Phone","MAR 14, 2024 01:48:46 PM"
"Garbage Not Collected","Environmental Services","31##","ELMWOOD","WARD 7","Phone","MAR 14, 2024 03:13:27 PM"
"Garbage Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Citizen Mobile Apps","MAR 14, 2024 09:20:12 PM"
"Garbage Not Collected","Environmental Services","19##","FORD","WARD 8","Phone","FEB 29, 2024 11:35:49 AM"
"Garbage Not Collected","Environmental Services","2##","JOSEPHINE","WARD 2","Phone","FEB 27, 2024 12:39:37 PM"
"Garbage Not Collected","Environmental Services","118##","COBBLESTONE","WARD 7","Phone","FEB 29, 2024 01:20:54 PM"
"Garbage Not Collected","Environmental Services","53##","QUEEN ELIZABETH","WARD 8","Phone","FEB 29, 2024 02:54:02 PM"
"Garbage Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Citizen Mobile Apps","FEB 29, 2024 06:42:47 PM"
"Garbage Not Collected","Environmental Services","12##","DEVONSHIRE","WARD 4","Web Intake","FEB 29, 2024 08:24:25 PM"
"Garbage Not Collected","Environmental Services","32##","WACHNA","WARD 8","Phone","MAR 01, 2024 09:33:52 AM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 09:43:54 AM"
"Garbage Not Collected","Environmental Services","1##","MCKAY","WARD 2","Phone","FEB 21, 2024 12:06:11 PM"
"Garbage Not Collected","Environmental Services","46##","UNICORN","WARD 9","Phone","FEB 21, 2024 12:56:48 PM"
"Garbage Not Collected","Environmental Services","38##","MATCHETT","WARD 2","Phone","FEB 21, 2024 01:37:17 PM"
"Garbage Not Collected","Environmental Services","8##","MARENTETTE","WARD 4","Phone","FEB 21, 2024 02:21:48 PM"
"Garbage Not Collected","Environmental Services","12##","MARIE","WARD 10","Phone","FEB 21, 2024 03:38:47 PM"
"Garbage Not Collected","Environmental Services","13##","DOUGALL","WARD 3","Citizen Mobile Apps","FEB 21, 2024 06:44:59 PM"
"Garbage Not Collected","Environmental Services","5##","CHARLES","WARD 10","Phone","FEB 22, 2024 10:00:05 AM"
"Garbage Not Collected","Environmental Services","7##","OUELLETTE","WARD 3","Phone","FEB 12, 2024 10:18:18 AM"
"Garbage Not Collected","Environmental Services","1##","HANNA","WARD 3","Phone","FEB 13, 2024 03:07:29 PM"
"Garbage Not Collected","Environmental Services","12##","PELISSIER","WARD 3","Phone","FEB 14, 2024 08:25:58 AM"
"Garbage Not Collected","Environmental Services","3##","AYLMER","WARD 4","Phone","FEB 14, 2024 08:54:25 AM"
"Garbage Not Collected","Environmental Services","14##","OLIVE","WARD 8","Phone","FEB 14, 2024 11:48:27 AM"
"Garbage Not Collected","Environmental Services","15##","BLAIRWOOD","WARD 9","Phone","FEB 14, 2024 02:20:14 PM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:02:07 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:06:14 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:30:27 AM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 10:40:36 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 11:29:10 AM"
"Garbage Not Collected","Environmental Services","2##","CAMPBELL","WARD 2","Phone","MAR 05, 2024 08:24:34 AM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 05, 2024 09:47:33 AM"
"Garbage Not Collected","Environmental Services","7##","PIERRE","WARD 4","Phone","MAR 05, 2024 10:01:41 AM"
"Garbage Not Collected","Environmental Services","1##","CURRY","WARD 2","Phone","MAR 05, 2024 11:04:26 AM"
"Garbage Not Collected","Environmental Services","12##","HALL","WARD 4","Phone","MAR 05, 2024 11:34:49 AM"
"Garbage Not Collected","Environmental Services","14##","BENJAMIN","WARD 4","Phone","MAR 05, 2024 01:26:08 PM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 05, 2024 09:53:33 AM"
"Garbage Not Collected","Environmental Services","9##","LEMONWOOD","WARD 1","Phone","FEB 14, 2024 03:55:33 PM"
"Garbage Not Collected","Environmental Services","15##","DOUGALL","WARD 3","Citizen Mobile Apps","JAN 27, 2024 05:58:05 PM"
"Garbage Not Collected","Environmental Services","11##","GOYEAU","WARD 3","Phone","JAN 30, 2024 10:37:54 AM"
"Garbage Not Collected","Environmental Services","0##","GILES","WARD 3","Phone","JAN 30, 2024 10:56:10 AM"
"Garbage Not Collected","Environmental Services","11##","DOUGALL","WARD 3","Phone","JAN 31, 2024 08:07:20 AM"
"Garbage Not Collected","Environmental Services","38##","TURNER","WARD 9","Phone","JAN 31, 2024 11:35:51 AM"
"Garbage Not Collected","Environmental Services","10##","PARTINGTON","WARD 2","Phone","JAN 31, 2024 12:40:44 PM"
"Garbage Not Collected","Environmental Services","12##","ROSSINI","WARD 5","Phone","FEB 01, 2024 09:29:48 AM"
