XCoord,YCoord,FID,NAME,ADDRESS,BOARD
-83.00342284,42.28340777,47,Our Lady of Perpetual Help Catholic Elementary School,775 Capitol St,W.E.C.D.S.B.
-83.03367111,42.27758599,48,Holy Names Catholic High School,1400 Northwood St,W.E.C.D.S.B.
-82.93995138,42.33707894,49,St. John Vianney Catholic Elementary School,8405 Cedarview St,W.E.C.D.S.B.
-82.92023932,42.30211146,50,H.J. Lassaline Catholic Elementary School,3145 Wildwood Dr,W.E.C.D.S.B.
-83.01778567,42.30608826,51,St. Angela Catholic Elementary School,816 Ellis St E,W.E.C.D.S.B.
-83.00465367,42.31655788,52,St. Anne Catholic Elementary School,1140 Monmouth Rd,W.E.C.D.S.B.
-82.98583123,42.30541750,53,St. Teresa of Calcutta Catholic Elementary School,1860 Chandler Ave,W.E.C.D.S.B.
-83.06114364,42.28384222,54,St. James Catholic Elementary School,1601 St. James St,W.E.C.D.S.B.
-83.06172117,42.29525603,55,Assumption College Catholic High School and Middle School,1100 Huron Church Rd,W.E.C.D.S.B.
-83.04030168,42.31471087,56,Immaculate Conception Catholic Elementary School,465 Victoria Ave,W.E.C.D.S.B.
-82.97550451,42.32497683,57,F.J. Brennan Catholic High School,910 Raymo Rd,W.E.C.D.S.B.
-83.01852493,42.29722386,58,Catholic Central High School,441 Tecumseh Rd E,W.E.C.D.S.B.
-83.02530079,42.26945851,59,Christ the King Catholic Elementary School,1200 Grand Marais Rd W,W.E.C.D.S.B.
-83.03509702,42.26888186,60,Notre Dame Catholic Elementary School,2751 Partington Ave,W.E.C.D.S.B.
-83.01193225,42.24315228,61,Our Lady of Mount Carmel Catholic Elementary School,1400 Cousineau Rd,W.E.C.D.S.B.
-83.02086012,42.25680659,62,St. Gabriel Catholic Elementary School,1400 Roselawn Dr,W.E.C.D.S.B.
-82.95428750,42.33009106,63,St. Rose Catholic Elementary School,871 St. Rose St,W.E.C.D.S.B.
-82.90954694,42.30968965,64,L.A. Desmarais Catholic Elementary School,10715 Eastcourt Dr,W.E.C.D.S.B.
-82.97521383,42.32477941,65,Corpus Christi Catholic Middle School,910 Raymo Rd,W.E.C.D.S.B.
-83.06631612,42.30684261,66,University of Windsor,401 Sunset Ave,University of Windsor
-83.01820985,42.24644432,67,St. Clair College,2000 Talbot Rd W,St. Clair College
-83.04224682,42.31895621,68,St. Clair Centre for the Arts,201 Riverside Dr W,St. Clair College
-83.06518247,42.29757711,69,INCUBATOR: Hybrid Laboratory at the Intersection of Art, Science & Ecology,955 Huron Church Rd,University of Windsor
-83.04158063,42.31719088,70,St. Clair College Media Plex,275 Victoria Ave,St. Clair College
-83.06190983,42.29812219,71,University of Windsor -  St. Denis Centre,2555 College Ave,University of Windsor
-82.92565933,42.29747535,72,Conseil scolaire catholique Providence,7515 Forest Glade Ave,C.S.C.P.
-83.05464411,42.31406878,73,Adult and Continuing Education,284 Cameron Ave,G.E.C.D.S.B.
-83.05442577,42.31369056,74,Directions(IAP), P.A.S.S. and Turning Point,284 Cameron Ave,G.E.C.D.S.B.
-83.02725101,42.31106502,75,New Beginnings I and II,1015 Highland Ave,G.E.C.D.S.B.
-83.06378528,42.28615559,76,Glengard-Osmond Bldg,1453 Prince Rd,G.E.C.D.S.B.
-83.07296594,42.29127100,77,Maryvale Adolescent and Family Services,3640 Wells St,G.E.C.D.S.B.
-83.04305770,42.31478827,78,Greater Essex County District School Board,451 Park Ave W,G.E.C.D.S.B.
-83.07219415,42.30288312,79,St. Michael's Adult Learning,477 Detroit St,W.E.C.D.S.B.
-83.06074431,42.29634786,80,Windsor Essex Catholic District School Board,1325 California Ave,W.E.C.D.S.B.
-83.04172568,42.31817017,81,University of Windsor - School of Social Work/Centre for Executive and Professional Education,167 Ferry St,University of Windsor
-83.02704946,42.30855554,82,James L. Dunn Public School,1167 Mercer St.,G.E.C.D.S.B.
